Annual Income (k$),Spending Score (1-100)
7.438540602945237,2.6839190653084133
-6.4388152791873665,10.247139884761157
-8.856697915906382,5.977641358269956
-11.010454268881997,5.2123272539338705
-7.763674326567587,-5.60570644774441
-5.758686783466377,-5.964554195125749
4.351337389056417,2.4254906974411505
-9.544885215063495,7.6715978215351575
4.242893586371167,6.05342343382516
-5.66033401289283,-5.935666330390529
-8.270022898518395,-6.969397627368647
4.9810687381342955,3.933883815364374
6.264455700991017,3.5538727619930865
-7.607672512894926,-6.757298384196463
-9.917341071137681,-6.600428121121805
-8.123119707534379,-7.720381153571401
-2.617212805423251,10.519585475036358
-10.071658349985658,7.689053732736571
-5.8502369055895,-9.299183400060425
-4.500601966933242,-8.73683284151622
-3.69639289563232,-5.331411702449227
-7.592045157892704,-7.860103442136515
-8.354249916128875,6.082676500170219
-2.4079053160208646,6.877163848878136
-7.815398299693564,6.858122780608519
-3.5245806235116883,9.931800561459623
-4.2356879891862045,9.57783315571683
-7.107304833704645,-5.997633783549082
-2.195902230545617,6.074780942378658
2.7844527699109785,-0.007515235685682464
-9.158682140082291,-7.6064607025753235
-3.407639341141007,-9.681007382163568
-11.408029550272326,9.354331476746822
-10.076573551824778,6.841444153019213
-1.9671042147901292,11.321340977897275
4.789355883859563,1.2179562027664332
-8.218930575222574,6.4779360862927415
5.520164476928507,5.2588531226557
-8.470877899972926,6.563108152442009
-2.3715564582494966,6.032932756296982
-8.680071801734934,-7.38186144703737
-3.7219380273925315,8.261650562821517
-8.351890167723196,-6.186954381881041
-4.431010235253817,-9.025321660216896
-10.065658781486219,10.462103829026894
5.5783798578756105,0.6874333493163083
3.305607191789816,0.7494542564925746
-6.774924063666242,-7.458079988568587
2.573374784292465,0.5664321240680479
-1.136094446499639,9.507412792687848
-5.553623356809502,6.1110754874659765
-3.325771709840524,9.180670012763121
-7.069167575554079,6.619759437341646
5.826426756792672,0.6090885017486236
-4.726980608603891,7.934519815606259
-3.4117575413968453,11.792703404961728
-3.68007712916687,-9.8082412925597
-7.25847941824101,-8.751784366223221
-3.5622772638687787,8.52279290830167
2.8529235904241284,2.9580000968914764
-7.412691999356935,6.458167432005099
3.2607424848773965,4.298071291467041
-5.530227378001394,-6.419160311961033
-8.866852068490044,5.81972886854199
-7.529846801554993,7.598535924106231
-6.5810376477910655,-7.780434909014138
3.046423265638944,2.683558329893504
-1.2753802548979667,7.183020653241789
-7.375648156509383,7.102936843245495
-1.4014977530596346,9.271338549983277
-2.023071668960558,8.436662707573847
-8.502189033920384,7.342411516671396
-3.871233736334567,6.895830576195385
-7.872306888303852,-5.6014595910816105
6.744070302632251,-0.12960691024768956
-6.10707429033828,-6.109430666907634
3.033540089136433,2.6968783068055098
-3.2134092019551783,9.828126193577269
-6.107055661692199,-1.1010123572938646
-3.227958979820685,8.735797663202597
-2.529443460159651,7.427719734764471
4.9610194524234075,0.10456151587274998
-11.74152820125488,-8.416691055277381
-8.352078227903347,7.128308333947176
-8.692833809146933,8.216258453654074
-8.017681684880953,7.020233936847862
-8.830462207058735,7.393993806145816
-2.378627020695493,8.56577510249952
4.7271919138971015,0.25871423719479747
-9.16484956147684,8.971688193479489
-6.81126943129555,-7.857510114684672
-4.632253736128371,8.383318144050284
2.313883689628902,2.076014146149773
4.5878111816702365,0.22015262751143405
4.659381674044962,4.1534707996767075
-9.915994088514665,7.003352187930933
-3.768023907886708,8.5504675644215
5.0156181117469165,2.4928419981861953
-6.213898048931927,-5.718158513131941
-3.0973598527509867,6.819013706000144
-6.880109545904517,7.355028677947842
-9.513425963854877,8.257797814019952
-3.0232693978429044,7.810870224365893
-7.191810566687183,-7.619610995264196
-2.0650172074558863,9.405869036468156
4.304684658239325,3.04417042507887
-8.059307985274252,9.62263128500257
-7.352531058111788,-5.741655762536046
-5.134881562918831,-6.864760001746566
-11.229969244827561,6.424460381068044
5.029703027600736,3.1459039916066978
-6.122146272680585,-5.581476802020765
-1.993770188700058,6.369725895154221
-7.803111769069341,6.721692207669949
-3.3038379287033086,9.784187277868355
-12.02417134310072,6.5348903829775615
-6.661612344943448,8.762429154626513
-5.0965743718222996,8.170854834336863
-3.2001557794924316,10.599969467526694
-2.6826700466351108,8.562630584814388
-5.608554070368676,6.172501571166629
-4.2314458307296245,-6.272637026834513
3.1540743485320686,1.1237230895365742
-8.724620919345421,6.307780348230535
-8.325693792970272,10.137779174322532
3.97010640812757,3.2577678754259405
-2.012302475947404,10.47760381888186
5.860154662282606,0.12687320928979906
3.314092681926402,2.203757342859024
-0.9626983393088238,10.41120630687262
-5.448624545911467,-5.90302271631725
-6.910979582097492,-6.704118518312773
-0.310724469670419,8.675621677468518
-8.801562495247596,8.070520352366877
-10.097910519907174,6.42443394733267
6.084943030094584,2.5923410743454793
-6.783207162508076,-8.496726760169906
-3.6637110571632814,-5.92923105979893
-2.3635812990306895,10.467253613997656
-4.979260467371336,-7.941613791704118
1.761722013279539,1.9333988707669068
-4.0284443035543855,9.485657127091232
-10.818677567166974,10.070711064280234
2.22865398438626,2.2501204717391885
4.5242262721069455,2.484897646165698
-4.501476696400395,9.309577982002008
3.6198417538603653,2.3215502296822375
-7.551838321832982,7.083615120553563
-6.709351173274398,-5.886913581494377
-7.539693921196745,-6.683998727346809
-4.1687000840617925,7.219976192077315
-8.866097460624594,6.890534957118495
5.872969076219836,4.818359157921654
-9.010137524514937,9.180247383458896
-8.038865012957627,-7.23533750338596
-7.101161446385909,8.511016956443108
-10.347353828885563,5.502239996317105
5.026204422312248,1.8615008102914812
5.3497352730884185,1.8639263149554228
6.377772204739207,0.7421462064131663
-1.2904088894614532,11.048646171054557
4.271796662223796,0.8425654374044975
5.1765598767505265,2.8143464734930834
-9.001467979321296,7.926090498647115
-2.838705454809018,9.549954985465941
-6.02329142511152,-5.176761133005048
5.079487546176123,0.9016425569011803
3.4649988977237456,1.4900774096322187
-6.458139389548721,-7.814158873006837
5.05491503522313,3.213944557494768
-6.921830412953373,6.436165832244958
-2.5015274380890586,8.662405428135601
-7.952582755041222,-5.860712969873933
-6.344103962203699,-7.919473986166928
6.354113058000632,3.101069232970893
